transaction_id,transaction_date,transaction_time,transaction_qty,store_id,product_id
17,2023-01-01,7:59:58,1,5,79
23,2023-01-01,8:24:26,1,5,69
36,2023-01-01,8:58:55,1,5,26
58,2023-01-01,9:22:46,1,5,34
109,2023-01-01,11:03:25,2,5,47
112,2023-01-01,11:08:11,1,3,59
131,2023-01-01,11:29:57,2,8,35
145,2023-01-01,11:48:56,2,8,50
148,2023-01-01,11:50:16,2,3,26
157,2023-01-01,12:00:20,1,5,29
161,2023-01-01,12:03:09,1,8,36
178,2023-01-01,12:23:39,1,3,24
197,2023-01-01,12:49:48,1,8,30
198,2023-01-01,12:50:15,1,3,59
240,2023-01-01,13:21:23,2,3,38
254,2023-01-01,13:42:10,1,3,43
256,2023-01-01,13:42:58,1,5,52
264,2023-01-01,13:50:09,1,5,53
265,2023-01-01,13:50:47,2,8,54
322,2023-01-01,14:51:19,2,5,43
425,2023-01-01,17:18:36,1,3,29
427,2023-01-01,17:19:08,1,5,75
454,2023-01-01,17:44:48,1,8,34
466,2023-01-01,17:59:44,1,8,76
507,2023-01-01,18:51:23,2,3,24
524,2023-01-01,19:10:53,2,8,55
553,2023-01-02,7:16:35,2,5,28
565,2023-01-02,8:03:47,2,8,32
574,2023-01-02,8:14:13,1,5,55
583,2023-01-02,8:26:21,2,8,31
602,2023-01-02,9:17:08,1,8,46
616,2023-01-02,9:48:46,2,8,32
643,2023-01-02,10:36:44,1,5,51
647,2023-01-02,10:55:08,1,8,55
662,2023-01-02,11:14:15,2,3,32
671,2023-01-02,11:19:42,1,8,35
675,2023-01-02,11:25:20,2,5,54
683,2023-01-02,11:36:50,2,5,58
719,2023-01-02,12:22:04,1,3,22
735,2023-01-02,12:29:07,1,3,24
797,2023-01-02,13:40:11,1,3,39
812,2023-01-02,13:55:38,1,8,71
814,2023-01-02,13:57:59,2,8,38
829,2023-01-02,14:12:35,2,3,54
844,2023-01-02,14:33:26,1,3,22
872,2023-01-02,15:05:22,1,3,79
877,2023-01-02,15:15:03,1,3,77
882,2023-01-02,15:23:29,2,8,45
952,2023-01-02,16:26:14,1,3,55
999,2023-01-02,17:18:25,2,5,32
1006,2023-01-02,17:28:06,1,8,47
1010,2023-01-02,17:29:42,1,8,44
1012,2023-01-02,17:34:05,2,8,28
1023,2023-01-02,17:44:03,2,8,36
1098,2023-01-02,19:28:16,2,3,25
1100,2023-01-02,19:35:14,1,8,40
1147,2023-01-03,8:37:26,1,8,60
1154,2023-01-03,8:42:28,1,8,61
1155,2023-01-03,8:44:23,2,8,22
1185,2023-01-03,9:50:02,2,5,43
1206,2023-01-03,10:41:29,1,5,72
1211,2023-01-03,10:54:16,2,5,39
1214,2023-01-03,10:56:53,1,5,73
1239,2023-01-03,11:27:36,1,8,46
1253,2023-01-03,11:37:55,1,3,32
1263,2023-01-03,11:46:29,2,3,35
1268,2023-01-03,11:52:48,1,8,59
1289,2023-01-03,12:23:36,1,8,35
1346,2023-01-03,13:38:29,2,3,50
1370,2023-01-03,14:08:26,1,8,39
1381,2023-01-03,14:18:47,2,5,35
1383,2023-01-03,14:18:58,2,3,57
1412,2023-01-03,14:47:10,1,3,76
1421,2023-01-03,14:53:17,1,8,72
1457,2023-01-03,15:19:17,1,5,47
1458,2023-01-03,15:19:17,1,5,79
1460,2023-01-03,15:23:04,2,3,54
1477,2023-01-03,15:36:32,1,8,44
1488,2023-01-03,15:47:58,2,8,61
1502,2023-01-03,15:58:24,2,3,59
1507,2023-01-03,16:04:22,2,3,27
1528,2023-01-03,16:29:19,2,5,27
1535,2023-01-03,16:31:41,1,3,54
1542,2023-01-03,16:37:31,2,3,36
1555,2023-01-03,16:50:27,1,8,61
1581,2023-01-03,17:18:26,1,8,52
1598,2023-01-03,17:32:11,1,8,59
1599,2023-01-03,17:35:29,2,8,46
1617,2023-01-03,17:59:02,1,8,73
1639,2023-01-03,18:30:40,1,3,58
1654,2023-01-03,18:56:00,1,3,39
1659,2023-01-03,19:05:02,1,8,49
1688,2023-01-03,19:49:19,2,8,34
1729,2023-01-04,8:43:10,2,8,29
1733,2023-01-04,8:58:38,1,8,22
1745,2023-01-04,9:40:25,2,5,36
1770,2023-01-04,10:27:54,2,5,46
1786,2023-01-04,11:14:39,2,8,45
1800,2023-01-04,11:29:36,2,5,36
1806,2023-01-04,11:40:03,1,3,30
1821,2023-01-04,12:00:58,2,3,34
1822,2023-01-04,12:01:42,2,3,55
1873,2023-01-04,12:57:48,2,3,30
1882,2023-01-04,13:08:33,1,8,38
1895,2023-01-04,13:26:45,2,3,54
1904,2023-01-04,13:42:22,2,8,45
1932,2023-01-04,14:13:50,1,8,39
1939,2023-01-04,14:19:06,1,5,71
1946,2023-01-04,14:26:56,2,8,39
1963,2023-01-04,14:44:00,2,8,43
1968,2023-01-04,14:47:54,1,8,22
1974,2023-01-04,14:53:18,2,3,59
2008,2023-01-04,15:29:26,1,8,71
2028,2023-01-04,15:46:26,2,5,48
2047,2023-01-04,16:30:33,1,3,45
2057,2023-01-04,16:58:25,2,5,56
2058,2023-01-04,16:59:04,2,5,31
2100,2023-01-04,17:45:57,2,5,50
2124,2023-01-04,18:16:20,1,3,23
2133,2023-01-04,18:28:20,1,5,73
2168,2023-01-04,19:13:09,1,3,57
2189,2023-01-04,19:49:24,1,3,74
2203,2023-01-05,7:30:10,1,5,36
2214,2023-01-05,8:20:57,1,5,38
2221,2023-01-05,8:25:59,1,8,39
2236,2023-01-05,8:46:33,1,8,27
2263,2023-01-05,9:38:01,2,5,52
2272,2023-01-05,10:09:39,1,8,24
2277,2023-01-05,10:20:39,1,8,29
2289,2023-01-05,10:36:55,1,5,49
2292,2023-01-05,10:40:06,1,8,35
2330,2023-01-05,11:26:08,1,8,35
2368,2023-01-05,12:14:28,1,3,57
2370,2023-01-05,12:16:55,1,8,56
2375,2023-01-05,12:21:21,1,5,29
2404,2023-01-05,12:45:56,1,3,52
2432,2023-01-05,13:16:45,1,5,23
2442,2023-01-05,13:24:46,2,5,47
2451,2023-01-05,13:41:46,2,3,61
2460,2023-01-05,13:52:40,1,3,38
2478,2023-01-05,14:13:41,1,5,75
2480,2023-01-05,14:14:57,1,3,75
2486,2023-01-05,14:20:30,2,5,57
2555,2023-01-05,15:46:09,2,3,45
2576,2023-01-05,15:59:23,2,8,35
2577,2023-01-05,16:00:28,2,3,43
2584,2023-01-05,16:07:39,1,3,46
2632,2023-01-05,17:07:21,1,8,46
2651,2023-01-05,17:28:31,2,3,37
2678,2023-01-05,18:14:47,2,5,38
2723,2023-01-05,19:24:25,2,3,45
2753,2023-01-06,7:34:45,1,5,45
2769,2023-01-06,8:02:57,2,5,46
2778,2023-01-06,8:11:57,1,8,33
2803,2023-01-06,8:52:57,1,8,30
2824,2023-01-06,9:33:29,1,8,31
2833,2023-01-06,9:54:50,1,8,29
2870,2023-01-06,11:16:53,1,3,74
2873,2023-01-06,11:22:26,1,5,48
2876,2023-01-06,11:24:49,2,5,58
2882,2023-01-06,11:36:32,1,3,40
2899,2023-01-06,12:00:31,2,3,49
2964,2023-01-06,13:23:59,1,5,56
2973,2023-01-06,13:28:17,1,8,70
2984,2023-01-06,13:56:35,1,8,30
3000,2023-01-06,14:13:48,2,3,32
3002,2023-01-06,14:15:25,1,8,30
3018,2023-01-06,14:37:57,1,8,61
3022,2023-01-06,14:42:25,1,8,56
3026,2023-01-06,14:46:55,1,5,54
3043,2023-01-06,15:09:02,1,8,29
3048,2023-01-06,15:16:02,1,8,44
3066,2023-01-06,15:29:06,2,3,52
3123,2023-01-06,16:24:57,1,3,79
3129,2023-01-06,16:32:58,2,5,36
3153,2023-01-06,17:19:08,2,3,58
3156,2023-01-06,17:22:32,2,5,58
3165,2023-01-06,17:33:47,2,5,27
3205,2023-01-06,18:21:46,1,3,60
3225,2023-01-06,18:53:18,1,8,73
3230,2023-01-06,19:06:30,1,8,73
3232,2023-01-06,19:09:13,2,3,56
3234,2023-01-06,19:13:31,2,3,27
3299,2023-01-07,7:20:01,2,3,48
3313,2023-01-07,7:37:21,2,5,54
3323,2023-01-07,7:44:17,1,5,6
3347,2023-01-07,8:09:37,1,8,41
3348,2023-01-07,8:09:37,1,8,65
3360,2023-01-07,8:20:30,1,5,37
3361,2023-01-07,8:20:30,1,5,64
3368,2023-01-07,8:25:38,1,8,35
3376,2023-01-07,8:32:16,2,3,28
3394,2023-01-07,8:36:53,2,5,45
3400,2023-01-07,8:39:05,2,8,24
3428,2023-01-07,9:00:23,1,3,29
3441,2023-01-07,9:06:36,1,8,30
3459,2023-01-07,9:23:49,2,8,59
3462,2023-01-07,9:29:32,1,8,54
3474,2023-01-07,9:40:36,2,8,28
3483,2023-01-07,9:47:30,2,8,51
3490,2023-01-07,9:57:28,1,8,31
3501,2023-01-07,10:03:16,2,8,50
3514,2023-01-07,10:11:28,1,8,53
3565,2023-01-07,10:37:20,2,5,27
3589,2023-01-07,10:52:50,2,8,38
3602,2023-01-07,10:56:46,2,8,27
3606,2023-01-07,11:02:58,1,8,50
3616,2023-01-07,11:10:06,2,3,33
3660,2023-01-07,12:26:42,1,8,19
3677,2023-01-07,12:54:18,1,3,74
3688,2023-01-07,13:26:37,2,8,47
3694,2023-01-07,13:38:54,2,3,59
3717,2023-01-07,14:53:35,1,3,51
3727,2023-01-07,15:28:09,1,3,57
3766,2023-01-07,17:49:50,2,3,51
3770,2023-01-07,17:58:15,2,8,31
3827,2023-01-07,19:43:24,2,3,48
3886,2023-01-08,7:53:43,1,8,49
3894,2023-01-08,8:03:13,2,8,38
3902,2023-01-08,8:09:07,1,3,22
3917,2023-01-08,8:20:50,1,5,77
3931,2023-01-08,8:31:47,2,5,32
3933,2023-01-08,8:34:30,1,3,59
3941,2023-01-08,8:42:32,1,3,49
3946,2023-01-08,8:49:04,1,5,9
3983,2023-01-08,9:19:14,2,8,53
3985,2023-01-08,9:21:59,2,8,25
4019,2023-01-08,9:47:40,1,8,76
4022,2023-01-08,9:49:23,1,5,77
4025,2023-01-08,9:53:06,2,3,35
4026,2023-01-08,9:53:06,1,3,70
4028,2023-01-08,9:58:21,2,8,28
4038,2023-01-08,10:05:17,2,5,51
4039,2023-01-08,10:06:06,1,8,46
4076,2023-01-08,10:36:29,1,8,41
4097,2023-01-08,10:44:10,1,3,3
4098,2023-01-08,10:44:12,2,3,54
4122,2023-01-08,11:04:19,2,8,35
4149,2023-01-08,11:27:36,2,8,25
4152,2023-01-08,11:34:06,2,3,59
4154,2023-01-08,11:36:50,1,8,55
4164,2023-01-08,11:55:06,1,8,23
4197,2023-01-08,13:06:30,2,3,58
4211,2023-01-08,13:21:46,2,3,70
4226,2023-01-08,14:01:00,2,5,61
4281,2023-01-08,16:01:25,2,5,40
4285,2023-01-08,16:12:35,2,8,63
4289,2023-01-08,16:17:06,1,8,22
4292,2023-01-08,16:24:03,1,3,50
4315,2023-01-08,17:03:52,1,3,38
4344,2023-01-08,18:21:17,2,8,48
4347,2023-01-08,18:26:29,2,8,46
4369,2023-01-08,19:08:59,1,3,59
4382,2023-01-08,19:32:15,4,5,64
4418,2023-01-09,6:56:32,1,8,74
4435,2023-01-09,7:20:38,1,3,31
4459,2023-01-09,7:38:22,1,3,59
4462,2023-01-09,7:40:11,1,8,39
4473,2023-01-09,7:52:18,2,5,41
4492,2023-01-09,7:59:55,1,3,6
4505,2023-01-09,8:14:57,1,3,75
4517,2023-01-09,8:16:26,1,8,74
4518,2023-01-09,8:19:42,1,3,56
4522,2023-01-09,8:21:37,2,8,46
4523,2023-01-09,8:23:35,2,8,52
4547,2023-01-09,8:39:51,1,3,38
4587,2023-01-09,9:07:08,1,8,57
4621,2023-01-09,9:38:31,1,3,53
4645,2023-01-09,9:47:29,2,8,57
4655,2023-01-09,9:54:44,1,5,23
4663,2023-01-09,10:04:37,1,5,39
4671,2023-01-09,10:09:03,1,5,57
4685,2023-01-09,10:16:43,2,8,39
4692,2023-01-09,10:20:57,2,5,57
4707,2023-01-09,10:32:13,1,8,71
4708,2023-01-09,10:34:20,1,3,71
4723,2023-01-09,10:44:54,1,8,35
4736,2023-01-09,10:51:17,2,8,35
4751,2023-01-09,10:57:56,2,5,52
